item,file_name,stimulus,stim_type,question,option1,option2,option3,option4,option5,option6,option7,scale_left_label,scale_right_label,correct,correct_label,source_commit
2001-600,2001-600.jpg,https://cdn.jsdelivr.net/gh/GeniaLukin/CLAS-stimuli@471d390c60ed2de01549e646aac7af27215831fc/Objects/2001-600.jpg,image,"On a scale of 1-7, is this item an animal or a thing?",1,2,3,4,5,6,7,1 - Thing,7 - Animal,1,thing,471d390c60ed2de01549e646aac7af27215831fc
2002-600,2002-600.jpg,https://cdn.jsdelivr.net/gh/GeniaLukin/CLAS-stimuli@471d390c60ed2de01549e646aac7af27215831fc/Objects/2002-600.jpg,image,"On a scale of 1-7, is this item an animal or a thing?",1,2,3,4,5,6,7,1 - Thing,7 - Animal,1,thing,471d390c60ed2de01549e646aac7af27215831fc
2003-600,2003-600.jpg,https://cdn.jsdelivr.net/gh/GeniaLukin/CLAS-stimuli@471d390c60ed2de01549e646aac7af27215831fc/Objects/2003-600.jpg,image,"On a scale of 1-7, is this item an animal or a thing?",1,2,3,4,5,6,7,1 - Thing,7 - Animal,1,thing,471d390c60ed2de01549e646aac7af27215831fc
2005-600_eyes,2005-600_eyes.png,https://cdn.jsdelivr.net/gh/GeniaLukin/CLAS-stimuli@471d390c60ed2de01549e646aac7af27215831fc/Objects/2005-600_eyes.png,image,"On a scale of 1-7, is this item an animal or a thing?",1,2,3,4,5,6,7,1 - Thing,7 - Animal,7,animal,471d390c60ed2de01549e646aac7af27215831fc
2006-600_eyes,2006-600_eyes.png,https://cdn.jsdelivr.net/gh/GeniaLukin/CLAS-stimuli@471d390c60ed2de01549e646aac7af27215831fc/Objects/2006-600_eyes.png,image,"On a scale of 1-7, is this item an animal or a thing?",1,2,3,4,5,6,7,1 - Thing,7 - Animal,7,animal,471d390c60ed2de01549e646aac7af27215831fc
2007-600_eyes,2007-600_eyes.png,https://cdn.jsdelivr.net/gh/GeniaLukin/CLAS-stimuli@471d390c60ed2de01549e646aac7af27215831fc/Objects/2007-600_eyes.png,image,"On a scale of 1-7, is this item an animal or a thing?",1,2,3,4,5,6,7,1 - Thing,7 - Animal,7,animal,471d390c60ed2de01549e646aac7af27215831fc
2008_eyes,2008_eyes.png,https://cdn.jsdelivr.net/gh/GeniaLukin/CLAS-stimuli@471d390c60ed2de01549e646aac7af27215831fc/Objects/2008_eyes.png,image,"On a scale of 1-7, is this item an animal or a thing?",1,2,3,4,5,6,7,1 - Thing,7 - Animal,7,animal,471d390c60ed2de01549e646aac7af27215831fc
2009-600_eyes,2009-600_eyes.png,https://cdn.jsdelivr.net/gh/GeniaLukin/CLAS-stimuli@471d390c60ed2de01549e646aac7af27215831fc/Objects/2009-600_eyes.png,image,"On a scale of 1-7, is this item an animal or a thing?",1,2,3,4,5,6,7,1 - Thing,7 - Animal,7,animal,471d390c60ed2de01549e646aac7af27215831fc
2010-600,2010-600.jpg,https://cdn.jsdelivr.net/gh/GeniaLukin/CLAS-stimuli@471d390c60ed2de01549e646aac7af27215831fc/Objects/2010-600.jpg,image,"On a scale of 1-7, is this item an animal or a thing?",1,2,3,4,5,6,7,1 - Thing,7 - Animal,1,thing,471d390c60ed2de01549e646aac7af27215831fc
2011-600_eyes,2011-600_eyes.png,https://cdn.jsdelivr.net/gh/GeniaLukin/CLAS-stimuli@471d390c60ed2de01549e646aac7af27215831fc/Objects/2011-600_eyes.png,image,"On a scale of 1-7, is this item an animal or a thing?",1,2,3,4,5,6,7,1 - Thing,7 - Animal,7,animal,471d390c60ed2de01549e646aac7af27215831fc
