item,stimulus,stim_type,question,option1,option2,option3,option4,option5,option6,option7,scale_left_label,scale_right_label,correct,correct_label,github_commit
2001-600,https://cdn.jsdelivr.net/gh/GeniaLukin/CLAS-stimuli@19888dce58f027cc990a6863a73881ca4ca6b073/Objects/2001-600.jpg,image,"On a scale of 1-7, is this item an animal or a thing?",1,2,3,4,5,6,7,1 - Thing,7 - Animal,1,thing,19888dce58f027cc990a6863a73881ca4ca6b073
2002-600,https://cdn.jsdelivr.net/gh/GeniaLukin/CLAS-stimuli@19888dce58f027cc990a6863a73881ca4ca6b073/Objects/2002-600.jpg,image,"On a scale of 1-7, is this item an animal or a thing?",1,2,3,4,5,6,7,1 - Thing,7 - Animal,1,thing,19888dce58f027cc990a6863a73881ca4ca6b073
2003-600,https://cdn.jsdelivr.net/gh/GeniaLukin/CLAS-stimuli@19888dce58f027cc990a6863a73881ca4ca6b073/Objects/2003-600.jpg,image,"On a scale of 1-7, is this item an animal or a thing?",1,2,3,4,5,6,7,1 - Thing,7 - Animal,1,thing,19888dce58f027cc990a6863a73881ca4ca6b073
2005-600_eyes,https://cdn.jsdelivr.net/gh/GeniaLukin/CLAS-stimuli@19888dce58f027cc990a6863a73881ca4ca6b073/Objects/2005-600_eyes.png,image,"On a scale of 1-7, is this item an animal or a thing?",1,2,3,4,5,6,7,1 - Thing,7 - Animal,7,animal,19888dce58f027cc990a6863a73881ca4ca6b073
2006-600_eyes,https://cdn.jsdelivr.net/gh/GeniaLukin/CLAS-stimuli@19888dce58f027cc990a6863a73881ca4ca6b073/Objects/2006-600_eyes.png,image,"On a scale of 1-7, is this item an animal or a thing?",1,2,3,4,5,6,7,1 - Thing,7 - Animal,7,animal,19888dce58f027cc990a6863a73881ca4ca6b073
2007-600_eyes,https://cdn.jsdelivr.net/gh/GeniaLukin/CLAS-stimuli@19888dce58f027cc990a6863a73881ca4ca6b073/Objects/2007-600_eyes.png,image,"On a scale of 1-7, is this item an animal or a thing?",1,2,3,4,5,6,7,1 - Thing,7 - Animal,7,animal,19888dce58f027cc990a6863a73881ca4ca6b073
2008_eyes,https://cdn.jsdelivr.net/gh/GeniaLukin/CLAS-stimuli@19888dce58f027cc990a6863a73881ca4ca6b073/Objects/2008_eyes.png,image,"On a scale of 1-7, is this item an animal or a thing?",1,2,3,4,5,6,7,1 - Thing,7 - Animal,7,animal,19888dce58f027cc990a6863a73881ca4ca6b073
2009-600_eyes,https://cdn.jsdelivr.net/gh/GeniaLukin/CLAS-stimuli@19888dce58f027cc990a6863a73881ca4ca6b073/Objects/2009-600_eyes.png,image,"On a scale of 1-7, is this item an animal or a thing?",1,2,3,4,5,6,7,1 - Thing,7 - Animal,7,animal,19888dce58f027cc990a6863a73881ca4ca6b073
2010-600,https://cdn.jsdelivr.net/gh/GeniaLukin/CLAS-stimuli@19888dce58f027cc990a6863a73881ca4ca6b073/Objects/2010-600.jpg,image,"On a scale of 1-7, is this item an animal or a thing?",1,2,3,4,5,6,7,1 - Thing,7 - Animal,1,thing,19888dce58f027cc990a6863a73881ca4ca6b073
2011-600_eyes,https://cdn.jsdelivr.net/gh/GeniaLukin/CLAS-stimuli@19888dce58f027cc990a6863a73881ca4ca6b073/Objects/2011-600_eyes.png,image,"On a scale of 1-7, is this item an animal or a thing?",1,2,3,4,5,6,7,1 - Thing,7 - Animal,7,animal,19888dce58f027cc990a6863a73881ca4ca6b073
2012-600_eyes,https://cdn.jsdelivr.net/gh/GeniaLukin/CLAS-stimuli@19888dce58f027cc990a6863a73881ca4ca6b073/Objects/2012-600_eyes.png,image,"On a scale of 1-7, is this item an animal or a thing?",1,2,3,4,5,6,7,1 - Thing,7 - Animal,7,animal,19888dce58f027cc990a6863a73881ca4ca6b073
2013-600_eyes,https://cdn.jsdelivr.net/gh/GeniaLukin/CLAS-stimuli@19888dce58f027cc990a6863a73881ca4ca6b073/Objects/2013-600_eyes.png,image,"On a scale of 1-7, is this item an animal or a thing?",1,2,3,4,5,6,7,1 - Thing,7 - Animal,7,animal,19888dce58f027cc990a6863a73881ca4ca6b073
2014-600,https://cdn.jsdelivr.net/gh/GeniaLukin/CLAS-stimuli@19888dce58f027cc990a6863a73881ca4ca6b073/Objects/2014-600.jpg,image,"On a scale of 1-7, is this item an animal or a thing?",1,2,3,4,5,6,7,1 - Thing,7 - Animal,1,thing,19888dce58f027cc990a6863a73881ca4ca6b073
2015-600,https://cdn.jsdelivr.net/gh/GeniaLukin/CLAS-stimuli@19888dce58f027cc990a6863a73881ca4ca6b073/Objects/2015-600.jpg,image,"On a scale of 1-7, is this item an animal or a thing?",1,2,3,4,5,6,7,1 - Thing,7 - Animal,1,thing,19888dce58f027cc990a6863a73881ca4ca6b073
