item,folder,filename,stimulus,stim_type,question,option1,option2,option3,option4,option5,option6,option7,scale_left_label,scale_right_label,correct,correct_label
1_with_eyes,Objects,1 with eyes.png,https://cdn.jsdelivr.net/gh/GeniaLukin/CLAS-stimuli@main/Objects/1%20with%20eyes.png,image,"On a scale of 1-7, is this item an animal or a thing?",1,2,3,4,5,6,7,1 - Thing,7 - Animal,7,animal
1_no_eyes,Objects,1 no eyes.jpg,https://cdn.jsdelivr.net/gh/GeniaLukin/CLAS-stimuli@main/Objects/1%20no%20eyes.jpg,image,"On a scale of 1-7, is this item an animal or a thing?",1,2,3,4,5,6,7,1 - Thing,7 - Animal,1,thing
2_with_eyes,Objects,2 with eyes.png,https://cdn.jsdelivr.net/gh/GeniaLukin/CLAS-stimuli@main/Objects/2%20with%20eyes.png,image,"On a scale of 1-7, is this item an animal or a thing?",1,2,3,4,5,6,7,1 - Thing,7 - Animal,7,animal
2_no_eyes,Objects,2 no eyes.jpg,https://cdn.jsdelivr.net/gh/GeniaLukin/CLAS-stimuli@main/Objects/2%20no%20eyes.jpg,image,"On a scale of 1-7, is this item an animal or a thing?",1,2,3,4,5,6,7,1 - Thing,7 - Animal,1,thing
3_with_eyes,Objects,3 with eyes.png,https://cdn.jsdelivr.net/gh/GeniaLukin/CLAS-stimuli@main/Objects/3%20with%20eyes.png,image,"On a scale of 1-7, is this item an animal or a thing?",1,2,3,4,5,6,7,1 - Thing,7 - Animal,7,animal
3_no_eyes,Objects,3 no eyes.jpg,https://cdn.jsdelivr.net/gh/GeniaLukin/CLAS-stimuli@main/Objects/3%20no%20eyes.jpg,image,"On a scale of 1-7, is this item an animal or a thing?",1,2,3,4,5,6,7,1 - Thing,7 - Animal,1,thing
4_with_eyes,Objects,4 with eyes.png,https://cdn.jsdelivr.net/gh/GeniaLukin/CLAS-stimuli@main/Objects/4%20with%20eyes.png,image,"On a scale of 1-7, is this item an animal or a thing?",1,2,3,4,5,6,7,1 - Thing,7 - Animal,7,animal
4_no_eyes,Objects,4 no eyes.jpg,https://cdn.jsdelivr.net/gh/GeniaLukin/CLAS-stimuli@main/Objects/4%20no%20eyes.jpg,image,"On a scale of 1-7, is this item an animal or a thing?",1,2,3,4,5,6,7,1 - Thing,7 - Animal,1,thing
5_with_eyes,Objects,5 with eyes.png,https://cdn.jsdelivr.net/gh/GeniaLukin/CLAS-stimuli@main/Objects/5%20with%20eyes.png,image,"On a scale of 1-7, is this item an animal or a thing?",1,2,3,4,5,6,7,1 - Thing,7 - Animal,7,animal
5_no_eyes,Objects,5 no eyes.jpg,https://cdn.jsdelivr.net/gh/GeniaLukin/CLAS-stimuli@main/Objects/5%20no%20eyes.jpg,image,"On a scale of 1-7, is this item an animal or a thing?",1,2,3,4,5,6,7,1 - Thing,7 - Animal,1,thing
6_with_eyes,Objects,6 with eyes.png,https://cdn.jsdelivr.net/gh/GeniaLukin/CLAS-stimuli@main/Objects/6%20with%20eyes.png,image,"On a scale of 1-7, is this item an animal or a thing?",1,2,3,4,5,6,7,1 - Thing,7 - Animal,7,animal
6_no_eyes,Objects,6 no eyes.jpg,https://cdn.jsdelivr.net/gh/GeniaLukin/CLAS-stimuli@main/Objects/6%20no%20eyes.jpg,image,"On a scale of 1-7, is this item an animal or a thing?",1,2,3,4,5,6,7,1 - Thing,7 - Animal,1,thing
7_with_eyes,Objects,7 with eyes.png,https://cdn.jsdelivr.net/gh/GeniaLukin/CLAS-stimuli@main/Objects/7%20with%20eyes.png,image,"On a scale of 1-7, is this item an animal or a thing?",1,2,3,4,5,6,7,1 - Thing,7 - Animal,7,animal
7_no_eyes,Objects,7 no eyes.jpg,https://cdn.jsdelivr.net/gh/GeniaLukin/CLAS-stimuli@main/Objects/7%20no%20eyes.jpg,image,"On a scale of 1-7, is this item an animal or a thing?",1,2,3,4,5,6,7,1 - Thing,7 - Animal,1,thing
8_with_eyes,Objects,8 with eyes.png,https://cdn.jsdelivr.net/gh/GeniaLukin/CLAS-stimuli@main/Objects/8%20with%20eyes.png,image,"On a scale of 1-7, is this item an animal or a thing?",1,2,3,4,5,6,7,1 - Thing,7 - Animal,7,animal
8_no_eyes,Objects,8 no eyes.jpg,https://cdn.jsdelivr.net/gh/GeniaLukin/CLAS-stimuli@main/Objects/8%20no%20eyes.jpg,image,"On a scale of 1-7, is this item an animal or a thing?",1,2,3,4,5,6,7,1 - Thing,7 - Animal,1,thing
9_with_eyes,Objects,9 with eyes.png,https://cdn.jsdelivr.net/gh/GeniaLukin/CLAS-stimuli@main/Objects/9%20with%20eyes.png,image,"On a scale of 1-7, is this item an animal or a thing?",1,2,3,4,5,6,7,1 - Thing,7 - Animal,7,animal
9_no_eyes,Objects,9 no eyes.jpg,https://cdn.jsdelivr.net/gh/GeniaLukin/CLAS-stimuli@main/Objects/9%20no%20eyes.jpg,image,"On a scale of 1-7, is this item an animal or a thing?",1,2,3,4,5,6,7,1 - Thing,7 - Animal,1,thing
