list,trial_id,target_name,start,end,question,option_1_image,option_2_image,correct_answer
listA,practice_cat,cat,https://cdn.jsdelivr.net/gh/GeniaLukin/CLAS-stimuli@main/cat_sound_and_script_(cat_script).mov,https://cdn.jsdelivr.net/gh/GeniaLukin/CLAS-stimuli@main/cat_bus_ending.mov,Which object is the cat?,https://github.com/GeniaLukin/CLAS-stimuli/blob/main/bus.png,https://github.com/GeniaLukin/CLAS-stimuli/blob/main/cat.png,cat
listA,practice_bus,bus,https://cdn.jsdelivr.net/gh/GeniaLukin/CLAS-stimuli@main/bus_sound_and_script_(bus_script).mov,https://cdn.jsdelivr.net/gh/GeniaLukin/CLAS-stimuli@main/bus_cat_ending.mov,Which object is the bus?,https://github.com/GeniaLukin/CLAS-stimuli/blob/main/bus.png,https://github.com/GeniaLukin/CLAS-stimuli/blob/main/cat.png,bus
listA,target_dax,dax,https://cdn.jsdelivr.net/gh/GeniaLukin/CLAS-stimuli@main/animate_sound_and_script_(dax_script).mov,https://cdn.jsdelivr.net/gh/GeniaLukin/CLAS-stimuli@main/yellow_gray_ending.mov,Which object is the dax?,https://cdn.jsdelivr.net/gh/GeniaLukin/CLAS-stimuli@main/dax.png,https://cdn.jsdelivr.net/gh/GeniaLukin/CLAS-stimuli@main/wug.png,dax
listA,target_wug,wug,https://cdn.jsdelivr.net/gh/GeniaLukin/CLAS-stimuli@main/inanimate_sound_and_script_(wug_script).mov,https://cdn.jsdelivr.net/gh/GeniaLukin/CLAS-stimuli@main/gray_yellow_ending.mov,Which object is the wug?,https://cdn.jsdelivr.net/gh/GeniaLukin/CLAS-stimuli@main/wug.png,https://cdn.jsdelivr.net/gh/GeniaLukin/CLAS-stimuli@main/dax.png,wug
listA,target_blick,blick,https://cdn.jsdelivr.net/gh/GeniaLukin/CLAS-stimuli@main/animate_sound_and_script_(blick_script).mov,https://cdn.jsdelivr.net/gh/GeniaLukin/CLAS-stimuli@main/blue_green_ending.mov,Which object is the blick?,https://cdn.jsdelivr.net/gh/GeniaLukin/CLAS-stimuli@main/blick.png,https://cdn.jsdelivr.net/gh/GeniaLukin/CLAS-stimuli@main/shang.png,blick
listA,target_shang,shang,https://cdn.jsdelivr.net/gh/GeniaLukin/CLAS-stimuli@main/inanimate_sound_and_script_(shang_script).mov,https://cdn.jsdelivr.net/gh/GeniaLukin/CLAS-stimuli@main/green_blue_ending.mov,Which object is the shang?,https://cdn.jsdelivr.net/gh/GeniaLukin/CLAS-stimuli@main/shang.png,https://cdn.jsdelivr.net/gh/GeniaLukin/CLAS-stimuli@main/blick.png,shang
listB,practice_cat,cat,https://cdn.jsdelivr.net/gh/GeniaLukin/CLAS-stimuli@main/cat_sound_and_script_(cat_script).mov,https://cdn.jsdelivr.net/gh/GeniaLukin/CLAS-stimuli@main/bus_cat_ending.mov,Which object is the cat?,https://github.com/GeniaLukin/CLAS-stimuli/blob/main/bus.png,https://github.com/GeniaLukin/CLAS-stimuli/blob/main/cat.png,cat
listB,practice_bus,bus,https://cdn.jsdelivr.net/gh/GeniaLukin/CLAS-stimuli@main/bus_sound_and_script_(bus_script).mov,https://cdn.jsdelivr.net/gh/GeniaLukin/CLAS-stimuli@main/cat_bus_ending.mov,Which object is the bus?,https://github.com/GeniaLukin/CLAS-stimuli/blob/main/bus.png,https://github.com/GeniaLukin/CLAS-stimuli/blob/main/cat.png,bus
listB,target_dax,dax,https://cdn.jsdelivr.net/gh/GeniaLukin/CLAS-stimuli@main/animate_sound_and_script_(dax_script).mov,https://cdn.jsdelivr.net/gh/GeniaLukin/CLAS-stimuli@main/gray_yellow_ending.mov,Which object is the dax?,https://cdn.jsdelivr.net/gh/GeniaLukin/CLAS-stimuli@main/dax.png,https://cdn.jsdelivr.net/gh/GeniaLukin/CLAS-stimuli@main/wug.png,dax
listB,target_wug,wug,https://cdn.jsdelivr.net/gh/GeniaLukin/CLAS-stimuli@main/inanimate_sound_and_script_(wug_script).mov,https://cdn.jsdelivr.net/gh/GeniaLukin/CLAS-stimuli@main/yellow_gray_ending.mov,Which object is the wug?,https://cdn.jsdelivr.net/gh/GeniaLukin/CLAS-stimuli@main/wug.png,https://cdn.jsdelivr.net/gh/GeniaLukin/CLAS-stimuli@main/dax.png,wug
listB,target_blick,blick,https://cdn.jsdelivr.net/gh/GeniaLukin/CLAS-stimuli@main/animate_sound_and_script_(blick_script).mov,https://cdn.jsdelivr.net/gh/GeniaLukin/CLAS-stimuli@main/green_blue_ending.mov,Which object is the blick?,https://cdn.jsdelivr.net/gh/GeniaLukin/CLAS-stimuli@main/blick.png,https://cdn.jsdelivr.net/gh/GeniaLukin/CLAS-stimuli@main/shang.png,blick
listB,target_shang,shang,https://cdn.jsdelivr.net/gh/GeniaLukin/CLAS-stimuli@main/inanimate_sound_and_script_(shang_script).mov,https://cdn.jsdelivr.net/gh/GeniaLukin/CLAS-stimuli@main/blue_green_ending.mov,Which object is the shang?,https://cdn.jsdelivr.net/gh/GeniaLukin/CLAS-stimuli@main/shang.png,https://cdn.jsdelivr.net/gh/GeniaLukin/CLAS-stimuli@main/blick.png,shang
